title,category
the food was tasty,message
This Hilarious Campaign Ad Shows Voters How They Can Avoid Scandalous Elected Officials,news
Trump travel ban should not apply to people with strong U.S. ties: court,news
OOPS: Trump Judicial Nominee Didn’t Tell Congress About Marriage To White House Attorney,news
I am hungry,message
Exclusive: State Department tells refugee agencies to downsize U.S. operations,news
New Accuser Confirms She Got Roy Moore Banned From The Mall (VIDEOS),news
Happy birthday! Wishing you all the best on your special day.,message
Seth Meyers Summed Up Monday’s Events Perfectly [VIDEO],news
U.S. court rejects Trump bid to stop transgender military recruits on Jan. 1,news
Can we meet up later to discuss the project?,message
Just wanted to say thank you for your help yesterday!,message
"‘Alt-Right’ White House Reporter Gets Fooled By Fake Tweet, Reports Upcoming Civil War",news
Senators seek to stop expansion of airport facial scans,news
Russian Lawyer Drops Bomb On Donald Trump Jr.,news
Trump Went To Japan And Immediately Proved He Knows Zilch About How Missiles Work,news
Spy chiefs pressure Congress to renew expiring surveillance law,news
Reminder: the deadline for the report is in two days.,message
"I need your input on this proposal, could you take a look and give me your thoughts?",message
Congratulations on your promotion! You deserve it.,message
Please let me know if you need any further information or assistance,message
"I can't make it to the meeting tomorrow, can you update me on what was discussed?",message
Hey! How's it going? Haven't talked to you in a while. Want to grab some drinks later?,message
Did you see the new movie that just came out? I heard it's really good!,message
What's up? Anything exciting happening in your life lately?,message
University Of Texas Police Kick Humiliated Nazis Off Campus Before They Could Start Trouble,news
U.S. tax plan roils popular bet in bond market,news
"Fox News Just Completed Transformation Into Safe Space For Fragile, Snowflakey Donald Trump",news
"The Numbers Are In: States, Insurers Literally Say Obamacare Trainwreck Is TRUMP’S Fault",news
Vote in Senate on 'Dreamers' hinges on bipartisan pact: McConnell,news
"Jeff Sessions: Oh, You Mean THAT Russian Contact. I Remember Now!",news
Trump urges Congress to pass short-term spending bill,news
University Of Texas Police Kick Humiliated Nazis Off Campus Before They Could Start Trouble,news
Russian Lawyer Drops Bomb On Donald Trump Jr.,news
White House says tax bill will not hurt Puerto Rico,news
WATCH: Republican Lawmaker Claims Forcing Women To Have Babies Will Help The Economy,news
Hawaiians Had The Perfect Signs To Infuriate Trump When He Landed There,news
FBI deputy director to sit for closed interview with House panels,news
"Jeff Sessions: Oh, You Mean THAT Russian Contact. I Remember Now!",news
Former Watergate Prosecutor: Mueller Could Gag Trump On Russia,news
"Fight over Alaska Arctic drilling has just begun, opponents vow",news
What's up? Anything exciting happening in your life lately?,message
How was your weekend? Do anything fun?,message
I'm so tired today. How's your day going?,message
Democrat Franken to leave Senate on January 2,news
"After Pulling NFL-Related Ads, Papa John’s Gets An Unlikely Sponsor Of Their Own: Nazis",news
"Fight over Alaska Arctic drilling has just begun, opponents vow",news
How's work/school going?,message
Donald Trump Sends Out Embarrassing New Year’s Eve Message,news
Drunk Bragging Trump Staffer Started Russian Collusion Investigation,news
I could really use a nap right now.,message
